community_id,community_name,state,year,population,youth_population,median_income,poverty_rate,pct_bachelors,tennis_courts_per_100k,pop_density,d1_players,noise_1,noise_2,noise_3,noise_4,noise_5,noise_6,d1_rate_per_100k
C0104,FL Community 104,FL,2022,59292,10644,45653,27.74,23.5,1.807,888.6,0,-0.4303,-0.2591,1.4074,0.4614,0.1688,1.3649,0.0
C0105,PA Community 105,PA,2022,72521,17321,23329,35.91,10.45,2.01,6808.9,0,-0.5226,-1.5339,1.3142,0.6752,1.4324,-1.1237,0.0
C0106,VA Community 106,VA,2022,22196,4485,65107,28.67,36.06,1.987,321.2,0,-1.0759,0.615,0.9939,0.5578,1.4188,-0.8315,0.0
C0107,NY Community 107,NY,2022,40077,9832,97286,13.27,49.29,5.276,823.4,0,0.0024,-0.8028,-0.3404,0.1929,-0.4909,1.6115,0.0
C0108,GA Community 108,GA,2022,17737,3998,100949,23.82,50.06,4.009,122.5,2,-0.9673,-0.637,-1.1616,0.6161,2.3646,1.7754,11.2759
C0109,CO Community 109,CO,2022,79926,18944,110735,14.87,41.11,1.481,1075.0,0,0.1881,0.827,-2.2195,-1.064,0.8159,0.2129,0.0
C0110,NY Community 110,NY,2022,7902,1774,89730,25.67,43.12,5.08,2661.5,0,0.225,-1.0569,0.53,-0.7144,0.2853,1.3023,0.0
C0111,GA Community 111,GA,2022,29091,6419,43211,38.81,16.84,1.576,2184.4,0,-1.6142,-0.3966,-0.5875,-1.7467,1.6029,1.4624,0.0
C0112,MA Community 112,MA,2022,84761,17985,70443,30.44,31.71,4.449,97.5,0,-0.3599,1.118,1.04,1.2234,1.0889,1.1276,0.0
C0113,NC Community 113,NC,2022,6461,1659,56774,27.05,21.43,2.092,826.5,0,1.4072,-0.9317,-1.0101,0.5224,-1.3004,1.5778,0.0
C0114,WI Community 114,WI,2022,31234,6339,70354,25.81,40.86,3.627,85.5,0,-1.3494,-0.0239,-0.442,0.8433,0.3542,-1.3651,0.0
C0115,NY Community 115,NY,2022,54770,11490,63231,22.82,30.69,1.614,1023.4,0,-1.9587,-1.0742,-0.1886,0.4205,-1.2167,0.0115,0.0
C0116,OR Community 116,OR,2022,60782,11085,75306,32.22,46.41,1.563,1518.4,0,-0.3593,-0.7912,-1.2685,-0.2249,-2.4737,-0.3036,0.0
C0117,TX Community 117,TX,2022,29572,6349,74066,15.39,41.61,2.874,662.1,0,0.9352,-1.5464,0.6639,-1.1727,0.0494,-1.9553,0.0
C0118,IL Community 118,IL,2022,137867,24186,117516,13.03,55.3,3.172,71.4,2,1.3391,-1.5087,-0.959,-0.3849,-0.936,1.0273,1.4507
C0119,MN Community 119,MN,2022,161625,45724,70123,26.4,31.8,4.029,615.4,1,-0.3934,-0.1298,0.6165,0.0727,-1.3038,1.7878,0.6187
C0120,MN Community 120,MN,2022,205542,52575,60448,29.44,30.48,0.05,1371.3,0,-0.732,-0.3192,2.6201,-1.9745,-1.2842,1.4705,0.0
C0121,AZ Community 121,AZ,2022,29204,5939,47248,35.78,16.84,2.282,1980.1,0,-0.5597,0.1984,0.7631,-0.6234,0.8916,-1.338,0.0
C0122,WI Community 122,WI,2022,38009,7426,76844,19.69,26.42,4.651,3895.0,0,2.126,-0.1932,0.8505,-1.8777,-1.1188,-0.555,0.0
C0123,MN Community 123,MN,2022,18636,4124,54993,26.49,28.36,1.917,185.3,0,-0.1347,1.22,-0.7868,0.5646,-0.1436,-0.5915,0.0
C0124,WA Community 124,WA,2022,20086,3900,70648,28.17,35.42,2.668,229.6,0,-0.3616,0.7281,-1.9215,0.3249,-0.5749,1.9012,0.0
C0125,WA Community 125,WA,2022,79748,20214,52336,34.64,39.09,2.439,116.7,0,-0.5468,-0.2699,1.492,0.6585,1.2746,1.232,0.0
C0126,GA Community 126,GA,2022,77056,15426,80085,27.88,39.6,4.176,562.3,0,-0.7235,1.3857,0.6619,1.0101,-0.3205,1.702,0.0
C0127,WA Community 127,WA,2022,191671,39728,63214,32.09,36.18,2.347,722.3,0,-0.8284,0.431,-0.6094,0.8475,-1.223,-0.01,0.0
C0128,TX Community 128,TX,2022,169604,30913,47155,40.98,22.0,3.187,695.7,0,-1.6516,0.2511,-1.1045,2.0752,0.7029,-1.2762,0.0
C0129,CO Community 129,CO,2022,74391,18179,52671,35.15,30.84,1.885,847.6,0,-0.1735,0.2436,0.3523,-0.0273,2.3759,-0.8779,0.0
C0130,OH Community 130,OH,2022,119292,32154,49748,36.42,33.89,0.702,451.7,0,1.5195,-0.6937,-1.0554,-1.2964,-1.1372,-1.6339,0.0
C0131,IL Community 131,IL,2022,103912,20669,79851,20.94,29.95,2.184,388.7,1,1.6753,-0.3416,-0.4449,-0.3029,-1.1752,-1.4282,0.9624
C0132,OR Community 132,OR,2022,20117,4452,82950,26.91,31.37,3.079,784.9,0,-0.4085,0.4966,-0.5057,-0.0289,-0.5657,1.2317,0.0
C0133,MO Community 133,MO,2022,96145,18394,65002,36.01,25.86,1.679,2186.1,0,-1.0551,-1.1148,0.0027,-0.1802,1.8333,-1.6621,0.0
C0134,PA Community 134,PA,2022,54344,10193,69400,33.3,27.21,1.843,1036.7,0,-3.4917,-0.0738,-1.1698,-1.143,-0.881,-0.3241,0.0
C0135,MO Community 135,MO,2022,20583,5066,29498,40.26,13.18,0.05,218.3,0,-0.2752,-0.8306,0.3649,-0.9208,-0.8522,0.0953,0.0
C0136,NY Community 136,NY,2022,29950,6328,53303,31.07,34.62,0.836,313.2,0,-1.2051,-0.5516,-0.0027,-0.3126,0.6168,-1.1913,0.0
C0137,CA Community 137,CA,2022,48596,11340,86992,18.81,45.41,3.13,1264.2,0,-0.4202,-1.9937,0.9891,1.4849,-0.4211,0.4914,0.0
C0138,TN Community 138,TN,2022,77776,18580,59006,32.46,29.18,2.572,4208.4,0,-0.5977,-0.7451,-0.419,0.4711,1.7814,-1.4085,0.0
C0139,WA Community 139,WA,2022,122600,31591,63746,23.17,38.05,3.866,453.9,0,0.6268,-0.9836,0.855,-0.9676,2.8,-0.6457,0.0
C0140,TN Community 140,TN,2022,110451,24721,93455,23.44,39.25,4.127,234.2,0,-0.6205,1.0843,1.3543,0.2651,-1.2999,-1.3408,0.0
C0141,GA Community 141,GA,2022,15785,3409,82422,25.04,49.38,1.542,205.8,0,1.9874,1.419,-1.4446,-1.551,-1.8517,-0.6789,0.0
C0142,MA Community 142,MA,2022,104921,20633,54948,33.83,29.27,3.336,660.7,0,1.0114,0.4573,-0.4344,-0.4041,-0.296,0.8502,0.0
C0143,OR Community 143,OR,2022,42325,10498,74160,24.52,32.35,1.08,303.4,0,0.3498,1.2697,1.2271,-1.4083,0.5734,1.719,0.0
C0144,MI Community 144,MI,2022,177631,45701,72672,32.22,10.45,3.477,631.2,1,-1.1243,0.5413,0.729,-1.2177,1.7994,2.0871,0.563
C0145,MO Community 145,MO,2022,53008,9477,75032,25.2,34.56,4.244,279.8,0,0.7548,-0.3439,2.0638,0.7973,1.8422,-1.0895,0.0
C0146,OH Community 146,OH,2022,216003,43422,85211,26.69,46.72,3.006,2864.1,0,-0.3194,-0.7982,-1.4602,-0.9993,-3.4828,-1.8536,0.0
C0147,TN Community 147,TN,2022,81642,16461,48369,35.6,14.46,0.05,1944.6,0,0.5082,0.0334,-0.7517,-1.039,-0.2869,-1.2183,0.0
C0148,IL Community 148,IL,2022,154150,29963,95869,24.28,36.58,4.69,1623.7,0,0.4323,1.8061,0.4612,0.7191,-0.3281,1.7511,0.0
C0149,OR Community 149,OR,2022,30451,7272,38364,34.84,12.79,0.732,1135.7,0,0.7976,-0.7395,0.5776,0.2491,0.6105,-0.5295,0.0
C0150,NY Community 150,NY,2022,31371,6863,73944,24.43,31.21,2.998,799.4,0,-1.2616,-0.3966,0.3012,0.226,0.4462,-0.6023,0.0
C0151,AZ Community 151,AZ,2022,22824,5385,31417,37.37,11.42,3.536,496.4,0,0.087,0.8871,-0.1636,0.8122,-0.4728,-0.2746,0.0
C0152,TX Community 152,TX,2022,32518,7243,67862,22.86,38.72,4.097,400.3,0,0.0034,-0.6765,-1.4736,-0.3109,-0.448,0.8216,0.0
C0153,TX Community 153,TX,2022,74680,18878,81752,25.53,41.77,4.43,833.4,0,-0.1681,1.0763,-1.3115,-0.1134,0.1635,1.1546,0.0
C0154,GA Community 154,GA,2022,70304,15401,70448,35.68,33.41,3.452,212.4,0,-0.7752,-1.0895,-0.8887,1.0511,-0.3642,-0.3284,0.0
C0155,TN Community 155,TN,2022,57417,15298,84260,30.65,42.19,4.991,487.2,0,0.0977,-0.7751,-0.5424,-0.7758,1.0856,-1.0479,0.0
C0156,NY Community 156,NY,2022,57347,15048,83928,24.87,29.29,4.617,175.0,0,0.8158,-0.5257,0.5143,-0.0889,0.1765,-1.2159,0.0
C0157,FL Community 157,FL,2022,61135,12397,95778,22.19,36.37,3.45,2353.0,0,-0.8903,2.2833,-1.7104,0.5636,-0.8955,0.183,0.0
C0158,OH Community 158,OH,2022,46026,11366,58191,29.31,24.07,0.05,554.1,0,1.8748,-0.0233,-1.3054,-1.0977,-2.0384,-1.77,0.0
C0159,MN Community 159,MN,2022,87679,19461,57927,25.09,32.66,0.099,863.4,0,0.2649,0.7395,1.7133,2.2647,1.0364,0.6434,0.0
C0160,MI Community 160,MI,2022,63952,15746,86463,18.88,45.3,3.376,392.9,1,1.0525,0.0366,0.8398,0.0511,-1.222,-0.0302,1.5637
C0161,WI Community 161,WI,2022,59546,11001,58502,37.79,28.45,4.006,682.1,0,0.8729,-2.2242,-0.6412,-0.318,0.5246,-0.1773,0.0
C0162,OH Community 162,OH,2022,53108,12538,73864,18.68,37.19,3.93,157.0,0,0.1116,-0.3871,-1.1208,0.551,-0.6315,0.9466,0.0
C0163,CA Community 163,CA,2022,17611,3976,60501,35.62,38.99,1.927,725.1,0,1.052,0.1191,-0.4977,-0.2599,0.0671,1.5958,0.0
C0164,CO Community 164,CO,2022,150235,34309,36772,32.75,24.11,0.782,2000.7,0,-0.4281,1.7119,-1.1993,-0.2738,0.0654,1.915,0.0
C0165,NC Community 165,NC,2022,76402,20097,43828,36.42,26.04,0.05,365.8,0,1.1216,-0.0576,0.7183,-0.314,-0.3463,-0.2876,0.0
C0166,AZ Community 166,AZ,2022,97474,18254,78506,28.75,30.06,4.89,842.8,0,0.8403,1.5152,2.5047,-3.0588,0.3526,-1.6544,0.0
C0167,TX Community 167,TX,2022,54523,12867,87579,26.33,45.49,1.79,705.9,0,0.8225,0.3641,0.4192,0.8447,-0.3101,-0.8311,0.0
C0168,WI Community 168,WI,2022,25136,4960,84573,26.86,28.57,0.05,902.5,0,1.0183,-0.6917,0.6784,1.4535,1.7059,-1.1173,0.0
C0169,NC Community 169,NC,2022,47999,9768,80882,31.72,49.43,3.758,794.3,0,-0.1965,-2.2646,2.5397,1.1856,0.451,0.3467,0.0
